City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,vargem grande,-3.5431,-43.9158,25.78,73,45,2.94,BR,1729812815
322,shimoda,34.6667,138.95,21.11,85,100,7.69,JP,1729812816
323,zouerate,22.7187,-12.4521,26.59,22,0,4.24,MR,1729812817
324,damghan,36.1683,54.348,9.56,75,100,3.87,IR,1729812818
325,anchorage,61.2181,-149.9003,1.3,67,100,4.63,US,1729812819
326,fauske,67.2588,15.3918,11.64,87,100,3.71,NO,1729812820
327,kavaratti,10.5669,72.642,27.4,82,98,1.68,IN,1729812822
328,valle de la pascua,9.2155,-66.0073,27.0,71,89,1.94,VE,1729812823
329,hobyo,5.3505,48.5268,25.57,87,5,7.55,SO,1729812824
330,esmeraldas,-19.7625,-44.3139,20.39,96,100,1.92,BR,1729812825
331,katsuura,35.1333,140.3,20.57,88,100,9.54,JP,1729812826
332,umm kaddadah,13.6017,26.6876,26.72,15,25,6.69,SD,1729812828
333,mizan teferi,6.9833,35.5833,16.31,96,44,1.31,ET,1729812829
334,keflavik,64.0049,-22.5624,0.24,100,40,2.57,IS,1729812830
335,tofol,5.3248,163.0078,27.88,89,75,4.12,FM,1729812831
336,gembu,6.7,11.2667,16.67,94,86,0.86,NG,1729812832
337,la jolla,32.8473,-117.2742,26.84,66,0,3.6,US,1729812833
338,deniliquin,-35.5333,144.9667,15.19,35,17,5.57,AU,1729812835
339,hibbing,47.4272,-92.9377,7.83,96,100,2.06,US,1729812836
340,pacocha,-17.5833,-71.3333,17.46,86,0,1.69,PE,1729812837
341,howard springs,-12.497,131.047,32.15,68,53,0.82,AU,1729812838
342,madang,-5.2246,145.7966,26.88,85,100,0.97,PG,1729812839
343,nemuro,43.3236,145.575,12.79,71,100,5.03,JP,1729812840
344,naha,26.2125,127.6811,28.15,89,75,5.14,JP,1729812842
345,papao,-17.75,-149.55,28.82,77,97,11.85,PF,1729812843
346,balabac,7.9868,117.0645,27.36,82,99,8.37,PH,1729812844
347,tosya,41.0155,34.0401,6.47,78,60,0.48,TR,1729812845
348,conde,-7.2597,-34.9075,25.7,73,20,4.63,BR,1729812846
349,basco,20.4487,121.9702,28.46,86,89,13.68,PH,1729812848
350,joshimath,30.5667,79.5667,9.79,43,0,3.03,IN,1729812849
351,darwin,-12.4611,130.8418,32.19,74,20,1.03,AU,1729812682
352,ola,59.5833,151.2833,-3.17,91,100,8.4,RU,1729812851
353,kalawit,8.0667,122.5167,27.26,84,100,4.24,PH,1729812852
354,vallenar,-28.5708,-70.7581,19.92,37,0,1.08,CL,1729812754
355,hats'avan,39.4641,45.9705,1.95,57,54,1.03,AM,1729812855
356,lata,40.1629,-8.3327,12.78,89,100,3.09,PT,1729812856
357,palamedu,10.1167,78.1167,23.95,89,90,1.23,IN,1729812857
358,ferokh,11.1833,75.85,23.58,100,40,1.03,IN,1729812859
359,barah,13.7,30.3667,28.31,14,49,6.83,SD,1729812860
360,tabou,4.423,-7.3528,25.13,88,70,2.27,CI,1729812608
